Time(s)	CPU_Usage(%)
30.534	28.60
30.555	36.40
30.574	31.00
30.593	30.80
30.612	33.30
30.631	31.00
30.651	38.70
30.671	44.80
30.689	41.40
30.708	35.70
30.728	34.40
30.747	36.70
30.767	28.60
30.786	36.70
30.805	36.40
30.824	31.00
30.844	31.00
30.864	37.50
30.882	36.70
30.902	24.10
30.979	14.60
31.072	13.60
31.107	25.50
31.126	40.00
31.145	30.80
31.166	34.40
31.184	39.30
31.205	41.90
31.222	37.00
31.243	40.60
31.263	36.70
31.282	45.20
31.300	41.40
31.321	38.70
31.339	37.00
31.359	34.50
31.379	34.50
31.397	48.40
31.418	35.50
31.436	37.90
31.456	31.00
31.475	41.90
31.495	34.50
31.515	28.60
31.534	35.70
31.552	51.90
31.572	33.30
31.592	54.80
31.610	50.00
31.630	44.80
31.651	37.50
31.670	60.70
31.690	41.90
31.711	54.80
31.730	44.00
31.750	37.50
31.769	32.10
31.789	37.50
31.808	32.10
31.828	46.90
31.849	45.20
31.868	40.60
31.887	59.30
31.907	42.40
31.926	26.90
31.946	32.30
31.967	37.50
31.992	92.50
32.019	97.60
32.042	68.40
32.065	58.30
32.084	55.20
32.105	51.50
32.125	43.70
32.152	44.20
32.193	40.00
32.211	51.90
32.231	51.60
32.252	53.10
32.273	50.00
32.294	57.60
32.316	50.00
32.338	55.90
32.360	58.30
32.380	54.80
32.401	41.90
32.420	35.70
32.439	32.10
32.459	37.50
32.479	35.50
32.498	34.50
32.517	36.70
32.537	31.00
32.557	34.40
32.576	34.50
32.595	32.10
32.615	34.40
32.635	35.50
32.654	41.90
32.674	36.70
32.695	30.00
32.714	42.40
32.733	41.40
32.754	27.60
32.774	36.70
32.793	28.10
32.927	14.60
32.987	18.50
33.005	44.80
33.025	35.70
33.047	41.20
33.066	39.30
33.086	41.20
33.106	43.80
33.127	36.70
33.147	35.50
33.168	36.70
33.188	39.40
33.208	40.60
33.229	36.40
33.249	43.70
33.269	40.00
33.289	43.70
33.309	45.50
33.329	40.60
33.349	47.10
33.369	40.00
33.390	40.60
33.410	36.70
33.429	38.70
33.450	40.60
33.470	40.60
33.490	38.70
33.511	44.10
33.530	43.30
33.550	34.50
33.570	45.70
33.590	32.10
33.611	42.40
33.630	41.40
33.650	38.70
33.671	41.20
33.690	43.30
33.709	37.00
33.729	40.60
33.749	38.70
33.770	58.10
33.790	55.20
33.811	42.40
33.832	38.70
33.851	37.00
33.872	47.10
33.890	43.30
33.910	40.00
33.932	52.90
33.951	59.40
33.972	50.00
33.992	53.10
34.012	44.80
34.033	53.30
34.053	62.90
34.074	58.60
34.094	60.60
34.114	58.10
34.135	58.10
34.156	56.30
34.176	58.10
34.196	61.30
34.216	46.70
34.237	54.50
34.257	46.40
34.278	53.30
34.298	54.50
34.319	48.40
34.339	66.70
34.359	51.60
34.380	53.30
34.400	35.70
34.421	42.40
34.440	40.00
34.460	38.70
34.481	43.70
34.501	47.10
34.521	39.30
34.541	37.90
34.560	37.00
34.579	41.90
34.601	38.70
34.619	40.00
34.640	36.70
34.660	42.40
34.681	36.70
34.700	41.90
34.721	40.00
34.741	36.70
34.761	38.70
34.780	43.30
34.801	39.40
34.820	40.00
34.841	38.70
34.861	39.40
34.881	41.90
34.901	43.80
34.920	40.60
34.941	35.50
34.963	41.20
34.981	39.30
35.002	35.50
35.023	44.10
35.041	37.00
35.063	38.20
35.081	32.00
35.102	41.20
35.122	36.70
35.143	42.40
35.164	43.30
35.183	43.30
35.203	40.60
35.223	36.70
35.243	31.00
35.263	32.30
35.283	36.40
35.302	32.30
35.323	28.10
35.344	36.40
35.363	29.60
35.384	32.30
35.405	29.00
35.425	36.40
35.446	35.50
35.464	26.90
35.485	35.30
35.505	35.50
35.526	34.40
35.546	35.50
35.564	40.00
35.585	26.70
35.605	33.30
35.626	34.40
35.645	33.30
35.665	32.30
35.686	36.40
35.705	36.70
35.725	28.60
35.746	32.30
35.765	38.70
35.785	34.40
35.804	36.70
35.825	31.00
35.845	35.50
35.865	34.40
35.886	29.00
35.906	37.50
35.926	35.50
35.948	31.30
35.968	40.60
35.987	31.00
36.006	33.30
36.027	34.40
36.048	26.70
36.092	21.40
36.108	43.50
36.128	36.40
36.159	56.50
36.170	76.50
36.191	50.00
36.210	44.80
36.232	45.50
36.252	32.30
36.271	32.10
36.293	37.10
36.313	33.30
36.331	37.00
36.352	27.60
36.371	34.50
36.390	35.50
36.410	35.50
36.430	40.60
36.449	36.70
36.470	36.40
36.491	36.40
36.510	34.60
36.530	36.40
36.549	33.30
36.570	34.40
36.591	34.40
36.610	34.50
36.629	28.60
36.649	40.00
36.669	39.30
36.690	27.60
36.710	32.30
36.827	16.90
36.925	16.90
36.945	40.00
36.965	35.70
36.985	35.50
37.003	28.60
37.025	46.90
37.046	34.40
37.064	57.70
37.085	52.90
37.105	43.30
37.125	60.00
37.146	56.20
37.166	45.20
37.186	37.50
37.206	37.50
37.226	37.50
37.244	28.60
37.265	29.00
37.285	29.00
37.304	30.00
37.326	33.30
37.345	34.50
37.364	42.40
37.384	28.60
37.405	38.20
37.424	29.60
37.444	33.30
37.464	32.30
37.484	34.40
37.505	31.00
37.523	32.10
37.544	34.40
37.562	36.70
37.583	32.30
37.603	25.90
37.622	35.50
37.643	28.60
37.663	34.50
37.681	35.70
37.702	36.40
37.721	29.60
37.741	32.30
37.762	36.40
37.782	37.90
37.801	36.70
37.820	34.50
37.841	33.30
37.860	33.30
37.880	36.40
37.903	36.40
37.920	42.90
37.940	25.90
37.960	33.30
37.982	31.20
38.023	16.40
38.040	42.30
38.060	33.30
38.081	42.40
38.103	38.20
38.123	38.70
38.145	41.20
38.167	40.60
38.188	32.30
38.206	40.00
38.227	38.20
38.248	44.10
38.266	46.70
38.287	40.00
38.307	41.90
38.327	38.70
38.347	35.50
38.366	37.90
38.386	40.60
38.406	26.90
38.426	36.40
38.445	40.00
38.466	35.50
38.485	37.50
38.505	32.30
38.525	34.50
38.545	35.50
38.565	38.70
38.585	36.70
38.604	22.20
38.624	27.30
38.717	16.30
38.833	17.60
38.851	44.80
38.871	43.70
38.891	41.90
38.911	40.60
38.931	41.90
38.952	40.60
38.971	43.30
38.992	38.70
39.011	42.90
39.031	38.70
39.052	39.40
39.070	43.30
39.091	38.70
39.109	40.70
39.130	42.40
39.149	40.00
39.169	35.70
39.188	41.90
39.207	35.70
39.228	36.40
39.248	40.00
39.269	45.20
39.288	43.30
39.309	48.40
39.327	44.80
39.347	40.60
39.366	37.00
39.386	36.40
39.408	32.30
39.429	41.90
39.447	37.00
39.468	50.00
39.487	41.40
39.508	36.70
39.528	43.70
39.549	38.70
39.568	42.90
39.588	41.90
